iter	Passed	Remaining
1575	24088	37050
1576	24103	37034
1577	24118	37017
1578	24133	37002
1579	24148	36986
1580	24163	36971
1581	24178	36955
1582	24193	36939
1583	24207	36922
1584	24222	36906
1585	24237	36890
1586	24258	36884
1587	24274	36869
1588	24291	36857
1589	24307	36843
1590	24323	36828
1591	24340	36816
1592	24356	36802
1593	24371	36787
1594	24389	36774
1595	24406	36763
1596	24422	36747
1597	24436	36731
1598	24451	36715
1599	24465	36698
1600	24480	36682
1601	24495	36667
1602	24510	36651
1603	24525	36634
1604	24539	36618
1605	24554	36602
1606	24568	36585
1607	24583	36569
1608	24598	36553
1609	24613	36538
1610	24628	36522
1611	24648	36514
1612	24663	36498
1613	24678	36482
1614	24693	36466
1615	24707	36449
1616	24721	36431
1617	24735	36415
1618	24749	36397
1619	24764	36382
1620	24780	36367
1621	24795	36351
1622	24811	36337
1623	24826	36322
1624	24841	36306
1625	24857	36292
1626	24872	36276
1627	24887	36260
1628	24902	36245
1629	24925	36241
1630	24940	36226
1631	24955	36209
1632	24970	36194
1633	24984	36177
1634	24999	36160
1635	25014	36146
1636	25030	36130
1637	25048	36120
1638	25064	36105
1639	25079	36089
1640	25095	36075
1641	25109	36058
1642	25124	36042
1643	25139	36026
1644	25154	36010
1645	25169	35995
1646	25184	35979
1647	25199	35963
1648	25213	35946
1649	25227	35930
1650	25242	35914
1651	25256	35897
1652	25272	35882
1653	25287	35866
1654	25301	35849
1655	25316	35834
1656	25330	35818
1657	25346	35802
1658	25361	35787
1659	25375	35770
1660	25392	35757
1661	25408	35743
1662	25425	35730
1663	25441	35716
1664	25457	35701
1665	25472	35685
1666	25486	35669
